transfers_balance,opponent_team,own_goals,bonus,total_points,clean_sheets,goals_conceded,kickoff_time,red_cards,expected_goals_conceded,team_a_score,influence,saves,assists,transfers_in,xP,season,expected_assists,creativity,starts,value,selected,element,goals_scored,was_home,bps,minutes,penalties_missed,yellow_cards,team,fixture,expected_goals,expected_goal_involvements,transfers_out,round,name,threat,position,ict_index,team_h_score,penalties_saved
-38,Brighton,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,1,0.0,0,0,34,0.0,2022-23,0.00,0.0,0,45,702,672,0,true,0,0,0,0,Aston Villa,372,0.00,0.00,72,38,Kadan Young,0.0,MID,0.0,2,0
-61829,Brighton,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,1,0.0,0,0,249,0.0,2022-23,0.00,0.0,0,45,236219,694,0,true,0,0,0,0,Aston Villa,372,0.00,0.00,62078,38,Álex Moreno,0.0,DEF,0.0,2,0
36,Brighton,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,1,0.0,0,0,112,0.0,2022-23,0.00,0.0,0,40,1767,707,0,true,0,0,0,0,Aston Villa,372,0.00,0.00,76,38,Viljami Sinisalo,0.0,GK,0.0,2,0
-126,Brighton,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,1,0.0,0,0,174,0.0,2022-23,0.00,0.0,0,55,2322,711,0,true,0,0,0,0,Aston Villa,372,0.00,0.00,300,38,Jhon Durán,0.0,FWD,0.0,2,0
-60,Brighton,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,1,0.0,0,0,158,0.0,2022-23,0.00,0.0,0,40,2571,744,0,true,0,0,0,0,Aston Villa,372,0.00,0.00,218,38,Sil Swinkels,0.0,DEF,0.0,2,0
87,Brighton,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,1,0.0,0,0,131,0.0,2022-23,0.00,0.0,0,40,1016,745,0,true,0,0,0,0,Aston Villa,372,0.00,0.00,44,38,Oliwier Zych,0.0,GK,0.0,2,0
2,Brighton,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,1,0.0,0,0,62,0.0,2022-23,0.00,0.0,0,40,459,753,0,true,0,0,0,0,Aston Villa,372,0.00,0.00,60,38,James Wright,0.0,GK,0.0,2,0
-101,Brighton,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,1,0.0,0,0,115,0.0,2022-23,0.00,0.0,0,40,1077,754,0,true,0,0,0,0,Aston Villa,372,0.00,0.00,216,38,Sebastian Revan,0.0,DEF,0.0,2,0
-3,Brighton,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,1,0.0,0,0,69,0.0,2022-23,0.00,0.0,0,45,266,755,0,true,0,0,0,0,Aston Villa,372,0.00,0.00,72,38,Travis Patterson,0.0,MID,0.0,2,0
-28,Brighton,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,1,0.0,0,0,34,0.0,2022-23,0.00,0.0,0,45,163,761,0,true,0,0,0,0,Aston Villa,372,0.00,0.00,62,38,Tommi O'Reilly,0.0,MID,0.0,2,0
-692,Everton,0,0,1,0,1,2023-05-28T15:30:00Z,0,0.82,0,10.4,0,0,652,1.0,2022-23,0.08,15.3,1,43,21941,57,0,false,11,82,0,1,Bournemouth,376,0.00,0.08,1344,38,Adam Smith,0.0,DEF,2.6,1,0
11,Everton,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,0,0.0,0,0,36,0.0,2022-23,0.00,0.0,0,48,2214,58,0,false,0,0,0,0,Bournemouth,376,0.00,0.00,25,38,Junior Stanislas,0.0,MID,0.0,1,0
0,Everton,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,0,0.0,0,0,35,0.0,2022-23,0.00,0.0,0,44,2682,59,0,false,0,0,0,0,Bournemouth,376,0.00,0.00,35,38,Ryan Fredericks,0.0,DEF,0.0,1,0
