name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,season
Jack Harrison,MID,Leeds,2.5,0,0,7,0,16.0,233,0.0,0.0,0.0,0.0,95,2,0,4.4,14.6,2022-10-09T13:00:00Z,90,0,0,0,0,10,0,407695,0,1,2,13.0,2,-76647,9056,85703,61,False,0,Crystal Palace,2022-23
Maxwel Cornet,MID,West Ham,0.0,0,0,0,0,0.0,575,0.0,0.0,0.0,0.0,100,0,0,0.0,0.0,2022-10-09T13:00:00Z,0,0,0,0,0,10,0,9005,0,1,3,0.0,0,-3622,202,3824,59,True,0,Fulham,2022-23
Luis Sinisterra,MID,Leeds,0.0,0,0,0,0,0.0,508,0.0,0.0,0.0,0.0,95,0,0,0.0,0.0,2022-10-09T13:00:00Z,0,0,0,0,0,10,0,57743,0,1,2,0.0,0,-52045,1586,53631,65,False,0,Crystal Palace,2022-23
Nathaniel Clyne,DEF,Crystal Palace,0.0,0,0,0,0,0.0,157,0.0,0.0,0.0,0.0,95,0,0,0.0,0.0,2022-10-09T13:00:00Z,0,0,0,0,0,10,0,16072,0,1,2,0.0,0,-2308,142,2450,45,True,0,Leeds,2022-23
Stuart Armstrong,MID,Southampton,0.3,0,0,2,0,1.1,405,0.0,0.0,0.0,0.0,97,4,0,0.3,0.8,2022-10-08T14:00:00Z,65,0,0,0,0,10,0,9804,0,0,4,1.0,2,-865,421,1286,49,False,0,Man City,2022-23
Oriol Romeu,MID,Southampton,0.0,0,0,0,0,0.0,402,0.0,0.0,0.0,0.0,97,0,0,0.0,0.0,2022-10-08T14:00:00Z,0,0,0,0,0,10,0,4177,0,0,4,0.0,0,-285,0,285,48,False,0,Man City,2022-23
Tyler Roberts,MID,Leeds,0.0,0,0,0,0,0.0,229,0.0,0.0,0.0,0.0,95,0,0,0.0,0.0,2022-10-09T13:00:00Z,0,0,0,0,0,10,0,67,0,1,2,0.0,0,-1,0,1,50,False,0,Crystal Palace,2022-23
Lamare Bogarde,DEF,Aston Villa,0.5,0,0,0,0,0.0,638,0.0,0.0,0.0,0.0,99,0,0,0.0,0.0,2022-10-10T19:00:00Z,0,0,0,0,0,10,0,1284,0,1,1,0.0,0,807,927,120,40,False,0,Nott'm Forest,2022-23
Harrison Ashby,DEF,West Ham,0.0,0,0,0,0,0.0,555,0.0,0.0,0.0,0.0,100,0,0,0.0,0.0,2022-10-09T13:00:00Z,0,0,0,0,0,10,0,35128,0,1,3,0.0,0,-256,1055,1311,40,True,0,Fulham,2022-23
Lewis Brunt,DEF,Leicester,0.5,0,0,0,0,0.0,273,0.0,0.0,0.0,0.0,92,0,0,0.0,0.0,2022-10-08T14:00:00Z,0,0,0,0,0,10,0,35975,0,1,2,0.0,0,1995,3441,1446,39,False,0,Bournemouth,2022-23
Matt Ritchie,DEF,Newcastle,0.0,0,0,0,0,0.0,350,0.0,0.0,0.0,0.0,98,0,0,0.0,0.0,2022-10-08T14:00:00Z,0,0,0,0,0,10,0,7833,0,1,5,0.0,0,-132,281,413,43,True,0,Brentford,2022-23
Jannik Vestergaard,DEF,Leicester,0.5,0,0,0,0,0.0,253,0.0,0.0,0.0,0.0,92,0,0,0.0,0.0,2022-10-08T14:00:00Z,0,0,0,0,0,10,0,750836,0,1,2,0.0,0,9207,39267,30060,39,False,0,Bournemouth,2022-23
Enock Mwepu,MID,Brighton,-0.1,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,93,0,0,0.0,0.0,2022-10-08T16:30:00Z,0,0,0,0,0,10,0,8349,0,1,0,0.0,0,-1325,63,1388,53,True,0,Spurs,2022-23
Trevoh Chalobah,DEF,Chelsea,3.5,0,0,27,1,3.9,141,0.0,0.0,0.0,0.0,94,0,0,5.9,20.0,2022-10-08T14:00:00Z,90,0,0,0,0,10,0,35554,0,0,3,35.0,6,1578,3360,1782,47,True,0,Wolves,2022-23
Chris Richards,DEF,Crystal Palace,0.0,0,0,0,0,0.0,530,0.0,0.0,0.0,0.0,95,0,0,0.0,0.0,2022-10-09T13:00:00Z,0,0,0,0,0,10,0,6399,0,1,2,0.0,0,-315,105,420,44,True,0,Leeds,2022-23
Diogo Jota,FWD,Liverpool,3.5,1,0,15,0,14.9,288,0.0,0.0,0.0,0.0,91,3,0,4.7,25.8,2022-10-09T15:30:00Z,80,0,0,0,0,10,0,44517,0,2,3,6.0,5,-647,5404,6051,89,False,0,Arsenal,2022-23
Martin Dubravka,GK,Man Utd,0.0,0,0,0,0,0.0,355,0.0,0.0,0.0,0.0,96,0,0,0.0,0.0,2022-10-09T18:00:00Z,0,0,0,0,0,10,0,55102,0,2,1,0.0,0,-3211,255,3466,42,False,0,Everton,2022-23
Rodrigo,MID,Leeds,2.0,0,0,10,0,38.0,225,0.0,0.0,0.0,0.0,95,2,0,6.8,18.2,2022-10-09T13:00:00Z,90,0,0,0,0,10,0,670972,0,1,2,12.0,2,42314,99502,57188,63,False,0,Crystal Palace,2022-23
Chiquinho,MID,Wolves,0.0,0,0,0,0,0.0,490,0.0,0.0,0.0,0.0,94,0,0,0.0,0.0,2022-10-08T14:00:00Z,0,0,0,0,0,10,0,452,0,0,3,0.0,0,86,116,30,50,False,0,Chelsea,2022-23
Mohammed Salisu,DEF,Southampton,-0.3,0,0,15,0,0.3,420,0.0,0.0,0.0,0.0,97,4,0,3.1,31.0,2022-10-08T14:00:00Z,90,0,0,0,0,10,0,18886,0,0,4,0.0,0,-678,1144,1822,44,False,0,Man City,2022-23
Fred,MID,Man Utd,2.0,0,0,0,0,0.0,331,0.0,0.0,0.0,0.0,96,0,0,0.0,0.0,2022-10-09T18:00:00Z,0,0,0,0,0,10,0,46110,0,2,1,0.0,0,-723,1424,2147,52,False,0,Everton,2022-23
Jakub Moder,MID,Brighton,0.0,0,0,0,0,0.0,117,0.0,0.0,0.0,0.0,93,0,0,0.0,0.0,2022-10-08T16:30:00Z,0,0,0,0,0,10,0,1908,0,1,0,0.0,0,-66,42,108,44,True,0,Spurs,2022-23
Lucas Paquetá,MID,West Ham,4.3,1,3,24,0,28.3,603,0.0,0.0,0.0,0.0,100,1,0,9.3,23.6,2022-10-09T13:00:00Z,83,0,0,0,0,10,0,132559,0,1,3,41.0,8,-9339,16958,26297,60,True,0,Fulham,2022-23
Jean-Philippe Mateta,FWD,Crystal Palace,1.0,0,0,1,0,0.0,168,0.0,0.0,0.0,0.0,95,0,0,0.0,0.0,2022-10-09T13:00:00Z,4,0,0,0,0,10,0,44314,0,1,2,0.0,1,-1670,3120,4790,53,True,0,Leeds,2022-23
Salomón Rondón,FWD,Everton,1.0,0,0,3,0,0.3,177,0.0,0.0,0.0,0.0,96,0,0,0.2,0.0,2022-10-09T18:00:00Z,6,0,0,0,0,10,0,57055,0,2,1,2.0,1,3168,8573,5405,50,True,0,Man Utd,2022-23
Liam Cooper,DEF,Leeds,3.5,0,0,11,0,0.1,221,0.0,0.0,0.0,0.0,95,2,0,1.4,12.0,2022-10-09T13:00:00Z,90,0,0,0,0,10,0,6545,0,1,2,2.0,1,2249,2529,280,44,False,0,Crystal Palace,2022-23
Alexander Isak,FWD,Newcastle,0.0,0,0,0,0,0.0,594,0.0,0.0,0.0,0.0,98,0,0,0.0,0.0,2022-10-08T14:00:00Z,0,0,0,0,0,10,0,298790,0,1,5,0.0,0,-208262,8534,216796,69,True,0,Brentford,2022-23
Erling Haaland,FWD,Man City,12.7,0,0,23,1,21.0,318,0.0,0.0,0.0,0.0,97,0,1,12.8,33.6,2022-10-08T14:00:00Z,90,0,0,0,0,10,0,8905419,0,0,4,73.0,6,272643,277921,5278,122,True,0,Southampton,2022-23
Lewis Cook,MID,Bournemouth,1.8,0,0,14,0,26.9,67,0.0,0.0,0.0,0.0,92,1,0,4.5,8.4,2022-10-08T14:00:00Z,90,0,0,0,0,10,0,9192,0,1,2,10.0,2,346,1406,1060,49,True,0,Leicester,2022-23
Remi Matthews,GK,Crystal Palace,0.0,0,0,0,0,0.0,495,0.0,0.0,0.0,0.0,95,0,0,0.0,0.0,2022-10-09T13:00:00Z,0,0,0,0,0,10,0,2829,0,1,2,0.0,0,-96,0,96,40,True,0,Leeds,2022-23
Phil Foden,MID,Man City,13.7,1,2,34,0,54.6,314,0.0,0.0,0.0,0.0,97,0,1,17.9,61.4,2022-10-08T14:00:00Z,57,0,0,0,0,10,0,1570203,0,0,4,63.0,11,716778,743460,26682,81,True,0,Southampton,2022-23
Juan Larios,DEF,Southampton,-0.2,0,0,2,0,0.6,622,0.0,0.0,0.0,0.0,97,0,0,0.2,1.0,2022-10-08T14:00:00Z,11,0,0,0,0,10,0,6048,0,0,4,0.0,1,484,1339,855,40,False,0,Man City,2022-23
Calvin Ramsay,DEF,Liverpool,0.5,0,0,0,0,0.0,298,0.0,0.0,0.0,0.0,91,0,0,0.0,0.0,2022-10-09T15:30:00Z,0,0,0,0,0,10,0,19134,0,2,3,0.0,0,1787,2483,696,39,False,0,Arsenal,2022-23
