name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team
Christian_Benteke_129,0,0,0,0,0,129,304,0,0,0,0,2020-06-24T19:15:00Z,0,0,0,0,0,31,0,41307,0,4,0,0,-210,575,785,57,FALSE,0,Liverpool
Christian_Eriksen_343,0,0,0,0,0,343,309,0,0,0,0,2020-06-23T19:15:00Z,0,0,0,0,0,31,0,178371,0,2,0,0,-894,36,930,86,TRUE,0,West Ham
Christian_Fuchs_163,0,0,0,0,0,163,303,0,0,0,0,2020-06-23T17:00:00Z,0,0,0,0,0,31,0,27159,0,0,0,0,-7,494,501,42,TRUE,0,Brighton
Christian_Kabasele_354,0,0,3,0,0,354,301,0,0,0.1,0.6,2020-06-25T17:00:00Z,45,0,0,0,0,31,0,35947,0,1,0,1,4874,6989,2115,43,FALSE,0,Burnley
Christian_Pulisic_431,0,0,23,0,2,431,302,1,1,10.9,38.8,2020-06-25T19:15:00Z,90,0,0,0,0,31,0,292191,1,2,68,7,16488,22478,5990,69,TRUE,0,Man City
Christian_Saydee_564,0,0,0,0,0,564,310,0,0,0,0,2020-06-24T17:00:00Z,0,0,0,0,0,31,0,696,0,1,0,0,5,58,53,45,FALSE,0,Wolves
Christoph_Zimmermann_275,0,0,0,0,0,275,307,0,0,0,0,2020-06-24T17:00:00Z,0,0,0,0,0,31,0,2718,1,0,0,0,-192,27,219,44,TRUE,0,Everton
Chris_Basham_423,0,0,13,0,1.1,423,305,3,0,1.1,10.2,2020-06-24T17:00:00Z,90,0,0,0,0,31,0,135512,0,3,0,1,-5321,12375,17696,46,FALSE,0,Man Utd
Chris_Mepham_61,0,0,0,0,0,61,310,0,0,0,0,2020-06-24T17:00:00Z,0,0,0,0,0,31,0,46355,0,1,0,0,-99,43,142,43,FALSE,0,Wolves
Chris_Smalling_223,0,0,0,0,0,223,305,0,0,0,0,2020-06-24T17:00:00Z,0,0,0,0,0,31,0,9084,0,3,0,0,-19,13,32,52,TRUE,0,Sheffield Utd
Chris_Wood_91,0,0,0,0,0,91,301,0,0,0,0,2020-06-25T17:00:00Z,0,0,0,0,0,31,0,75859,0,1,0,0,-7062,310,7372,61,TRUE,0,Watford
Ciaran_Clark_259,0,0,0,0,0,259,306,0,0,0,0,2020-06-24T17:00:00Z,0,0,0,0,0,31,0,16511,1,1,0,0,-251,189,440,43,TRUE,0,Aston Villa
Claudio_Bravo_213,0,0,0,0,0,213,302,0,0,0,0,2020-06-25T19:15:00Z,0,0,0,0,0,31,0,23041,1,2,0,0,-153,105,258,47,FALSE,0,Chelsea
Cole_Palmer_643,0,0,0,0,0,643,302,0,0,0,0,2020-06-25T19:15:00Z,0,0,0,0,0,31,0,0,1,2,0,0,0,0,0,45,FALSE,0,Chelsea
Connor_Wickham_130,0,0,0,0,0,130,304,0,0,0,0,2020-06-24T19:15:00Z,0,0,0,0,0,31,0,140399,0,4,0,0,-630,161,791,43,FALSE,0,Liverpool
